Customer Key,Location Key,Shipping Key,Product Key,Order Key,Order Date Key,Ship Date Key,Quantity Sold,Total Price
100000,200000,300000,400000,500000,600000,700000,7,2309.65
100001,200001,300001,400001,500001,600001,700001,9,3709.395
100002,200002,300002,400002,500002,600002,700002,9,5175.171
100003,200003,300003,400003,500003,600003,700003,5,2892.51
100004,200004,300004,400004,500004,600004,700004,8,2832.96
100005,200005,300005,400005,500005,600005,700005,5,2862.675
100006,200006,300006,400006,500006,600006,700006,4,1822.08
100007,200007,300007,400007,500007,600007,700007,6,5244.84
100008,200008,300008,400008,500008,600008,700008,5,5083.96
100009,200009,300009,400009,500009,600009,700009,13,4297.644
100010,200010,300010,400010,500010,600010,700010,5,4164.05
100011,200011,300011,400011,500011,600011,700011,5,4626.15
100012,200012,300012,400012,500012,600012,700012,4,2616.96
100013,200013,300013,400013,500013,600013,700013,7,2221.8
100014,200014,300014,400014,500014,600014,700014,12,3701.52
100015,200015,300015,400015,500015,600015,700015,4,1869.588
100016,200016,300016,400016,500016,600016,700016,9,2249.91
100017,200017,300017,400017,500017,600017,700017,14,7958.58
100018,200018,300018,400018,500018,600018,700018,9,2565.594
100019,200019,300019,400019,500019,600019,700019,6,3409.74
100020,200020,300020,400020,500020,600020,700020,4,1977.72
100021,200021,300021,400021,500021,600021,700021,6,2735.952
100022,200022,300022,400022,500022,600022,700022,6,2754.0
100023,200023,300023,400023,500023,600023,700023,10,5273.7
100024,200024,300024,400024,500024,600015,700024,4,1713.84
100025,200025,300025,400025,500025,600024,700025,8,2106.496
100026,200026,300026,400026,500026,600025,700026,2,1715.16
100027,200027,300027,400017,500027,600026,700027,6,3069.738
100028,200028,300028,400027,500028,600027,700028,8,4158.912
100029,200029,300029,400028,500029,600028,700029,4,1878.72
100030,200030,300030,400029,500030,600029,700030,5,1696.64
100031,200031,300031,400030,500031,600030,700031,9,2402.865
100032,200032,300032,400031,500032,600031,700032,5,2453.43
100033,200033,300033,400032,500033,600032,700033,5,2526.93
100034,200034,300034,400033,500034,600033,700034,12,3610.848
100035,200035,300035,400034,500035,600034,700035,6,3817.26
100036,200000,300036,400035,500036,600034,700036,4,2799.96
100037,200036,300037,400036,500037,600035,700037,4,7999.98
100038,200037,300038,400037,500038,600036,700038,13,4141.02
100039,200002,300039,400002,500039,600037,700039,5,2875.095
100040,200038,300040,400038,500040,600038,700040,6,3200.5962
100041,200039,300041,400039,500041,600039,700041,7,4518.78
100042,200040,300042,400040,500042,600040,700042,13,5667.87
100043,200041,300043,400003,500043,600041,700043,9,5785.02
100044,200003,300044,400041,500044,600042,700044,7,3018.624
100045,200042,300045,400042,500045,600042,700045,5,9449.95
100046,200043,300046,400043,500046,600043,700046,5,2092.5
100047,200044,300047,400044,500047,600044,700047,6,2761.2
100048,200045,300048,400045,500048,600045,700048,7,2174.13
100049,200046,300049,400046,500049,600046,700049,11,3473.14
100050,200000,300050,400008,500050,600047,700050,3,3050.376
100051,200047,300051,400047,500051,600048,700051,8,2108.64
100052,200048,300052,400048,500052,600049,700052,5,2399.96
100026,200026,300053,400049,500053,600025,700026,5,2197.5
100053,200049,300054,400050,500054,600050,700053,4,2582.16
100054,200050,300055,400051,500055,600051,700054,4,1526.52
100055,200051,300056,400052,500056,600052,700055,7,3149.93
100056,200052,300057,400053,500057,600053,700056,2,1745.34
100057,200053,300058,400054,500058,600054,700057,9,4191.507
100058,200054,300059,400055,500059,600055,700058,13,4367.896
100059,200055,300060,400056,500060,600056,700059,7,3063.27
100060,200000,300061,400057,500061,600057,700060,4,4643.8
100061,200056,300062,400058,500062,600058,700061,7,4473.0
100062,200057,300063,400059,500063,600059,700062,9,1502.01
100063,200058,300064,400022,500064,600060,700063,11,5049.0
100064,200059,300065,400060,500065,600061,700064,7,2104.55
100065,200060,300066,400061,500066,600062,700065,5,2188.05
100066,200061,300067,400062,500067,600063,700066,4,1920.36
100067,200062,300068,400063,500068,600064,700067,4,1704.0
100068,200063,300069,400064,500069,600065,700068,4,1858.68
100069,200064,300070,400065,500070,600066,700069,7,3298.26
100070,200065,300071,400066,500071,600067,700070,13,2443.48
100071,200066,300072,400067,500072,600068,700071,8,3808.8
100072,200067,300073,400068,500073,600069,700058,7,3427.1496
100073,200068,300074,400069,500074,600070,700072,6,3441.69
