Location Key,Market,Country,Region,State,City
200000,US,United States,East,New York,New York City
200001,APAC,Australia,Oceania,New South Wales,Wollongong
200002,APAC,Australia,Oceania,Queensland,Brisbane
200003,EU,Germany,Central,Berlin,Berlin
200004,Africa,Senegal,Africa,Dakar,Dakar
200005,APAC,Australia,Oceania,New South Wales,Sydney
200006,APAC,New Zealand,Oceania,Wellington,Porirua
200007,APAC,New Zealand,Oceania,Waikato,Hamilton
200008,US,United States,West,California,Sacramento
200009,US,United States,South,North Carolina,Concord
200010,US,United States,South,Virginia,Alexandria
200011,APAC,Afghanistan,Central Asia,Kabul,Kabul
200012,EMEA,Saudi Arabia,EMEA,Jizan,Jizan
200013,LATAM,Brazil,South,Parana,Toledo
200014,APAC,China,North Asia,Heilongjiang,Mudanjiang
200015,EU,France,Central,Ile-de-France,Paris
200016,US,United States,South,Kentucky,Henderson
200017,EU,Italy,South,Tuscany,Prato
200018,APAC,Australia,Oceania,Queensland,Townsville
200019,Africa,Tanzania,Africa,Kigoma,Uvinza
200020,EMEA,Poland,EMEA,Silesia,Bytom
200021,US,United States,Central,Illinois,Chicago
200022,APAC,China,North Asia,Anhui,Suzhou
200023,EU,United Kingdom,North,Scotland,Edinburgh
200024,LATAM,Mexico,North,Chihuahua,Juárez
200025,LATAM,El Salvador,Central,San Salvador,Soyapango
200026,APAC,Taiwan,North Asia,Taipei City,Taipei
200027,EU,Germany,Central,Saxony,Leipzig
200028,US,United States,West,California,Los Angeles
200029,APAC,India,Central Asia,Gujarat,Surat
200030,LATAM,Dominican Republic,Caribbean,Santo Domingo,Santo Domingo
200031,EU,France,Central,Brittany,Saint-Brieuc
200032,US,United States,Central,Texas,Amarillo
200033,APAC,Australia,Oceania,Queensland,Gold Coast
200034,US,United States,West,California,Fresno
200035,Africa,Democratic Republic of the Congo,Africa,Katanga,Kamina
200036,US,United States,South,North Carolina,Burlington
200037,EU,United Kingdom,North,England,Stockton-on-Tees
200038,APAC,Indonesia,Southeast Asia,Nusa Tenggara Barat,Mataram
200039,APAC,India,Central Asia,Haryana,Gorakhpur
200040,APAC,India,Central Asia,Kerala,Thiruvananthapuram
200041,EU,United Kingdom,North,England,Huddersfield
200042,US,United States,Central,Minnesota,Minneapolis
200043,EU,France,Central,Ile-de-France,Montreuil
200044,APAC,China,North Asia,Shandong,Shouguang
200045,APAC,India,Central Asia,Jharkhand,Jamshedpur
200046,LATAM,Uruguay,South,Paysandú,Paysandú
200047,EMEA,Iran,EMEA,Mazandaran,Behshahr
200048,US,United States,West,California,Huntington Beach
200049,Africa,Mozambique,Africa,Cidade De Maputo,Maputo
200050,APAC,India,Central Asia,Madhya Pradesh,Bhopal
200051,US,United States,West,Washington,Seattle
200052,APAC,India,Central Asia,Delhi,Delhi
200053,APAC,Australia,Oceania,Western Australia,Geraldton
200054,US,United States,South,Florida,Tallahassee
200055,APAC,Bangladesh,Central Asia,Dhaka,Dhaka
200056,EU,Germany,Central,Lower Saxony,Munster
200057,EU,Germany,Central,Lower Saxony,Celle
200058,APAC,China,North Asia,Jiangsu,Wuxi
200059,US,United States,South,Virginia,Richmond
200060,EU,Spain,South,Andalusía,Seville
200061,APAC,India,Central Asia,Uttarakhand,Raipur
200062,LATAM,Mexico,North,Durango,Gómez Palacio
200063,EMEA,Ukraine,EMEA,Kharkiv,Kharkiv
200064,APAC,China,North Asia,Shandong,Jinan
200065,LATAM,Nicaragua,Central,Chinandega,Chinandega
200066,Africa,Democratic Republic of the Congo,Africa,Kasai-Occidental,Kananga
200067,APAC,Indonesia,Southeast Asia,Sumatera Selatan,Palembang
200068,EU,United Kingdom,North,England,London
200069,APAC,Australia,Oceania,Victoria,Melbourne
200070,US,United States,South,Georgia,Atlanta
200071,EU,Germany,Central,North Rhine-Westphalia,Duisburg
200072,APAC,China,North Asia,Sichuan,Nanchong
200073,APAC,India,Central Asia,West Bengal,Naihati
200074,EU,France,Central,Nord-Pas-de-Calais,Lille
200075,Africa,Morocco,Africa,Meknès-Tafilalet,Meknes
200076,US,United States,Central,Michigan,Jackson
200077,US,United States,East,Pennsylvania,Philadelphia
200078,EU,Germany,Central,North Rhine-Westphalia,Krefeld
200079,APAC,Indonesia,Southeast Asia,Jawa Barat,Bandung
200080,Africa,Morocco,Africa,Grand Casablanca,Casablanca
200081,APAC,Bangladesh,Central Asia,Dhaka,Tongi
200082,US,United States,West,Nevada,Henderson
200083,Canada,Canada,Canada,Quebec,Montréal
200084,APAC,Philippines,Southeast Asia,National Capital,Manila
200085,APAC,Australia,Oceania,New South Wales,Newcastle
200086,EU,Austria,Central,Styria,Graz
200087,APAC,Australia,Oceania,New South Wales,Nowra
200088,EU,France,Central,Ile-de-France,Boulogne-Billancourt
200089,EU,France,Central,Ile-de-France,Malakoff
200090,Africa,Democratic Republic of the Congo,Africa,Kinshasa,Kinshasa
200091,APAC,Australia,Oceania,Western Australia,Perth
200092,EU,France,Central,Aquitaine,Le Bouscat
200093,LATAM,Mexico,North,Puebla,Puebla
200094,EU,Germany,Central,Bavaria,Augsburg
200095,EU,France,Central,Provence-Alpes-Côte d'Azur,Nice
200096,LATAM,Colombia,South,Antioquia,Medellín
200097,EU,Netherlands,Central,North Brabant,Bergen op Zoom
200098,US,United States,East,New Jersey,Lakewood
200099,EU,Germany,Central,Lower Saxony,Hanover
200100,EU,Spain,South,Galicia,Vigo
200101,APAC,China,North Asia,Jiangsu,Gaoyou
200102,EU,Germany,Central,Bremen,Bremen
200103,EU,France,Central,Midi-Pyrénées,Muret
200104,APAC,China,North Asia,Sichuan,Zigong
200105,APAC,Australia,Oceania,South Australia,Adelaide
200106,US,United States,Central,Michigan,Detroit
200107,EU,France,Central,Ile-de-France,Chelles
200108,APAC,Malaysia,Southeast Asia,Pahang,Kuantan
200109,US,United States,South,Virginia,Harrisonburg
200110,US,United States,East,Massachusetts,Everett
200111,LATAM,Ecuador,South,Pichincha,Quito
200112,APAC,India,Central Asia,Gujarat,Vadodara
200113,APAC,China,North Asia,Hainan,Sanya
200114,APAC,Thailand,Southeast Asia,Bangkok,Bangkok
200115,US,United States,West,California,San Diego
200116,APAC,Indonesia,Southeast Asia,Jawa Barat,Tasikmalaya
200117,LATAM,Mexico,North,Sonora,Guaymas
200118,APAC,China,North Asia,Hubei,Wuhan
200119,US,United States,Central,Wisconsin,Madison
200120,LATAM,Brazil,South,São Paulo,Salto
200121,EU,Italy,South,Veneto,Treviso
200122,Africa,Somalia,Africa,Woqooyi Galbeed,Hargeysa
200123,US,United States,West,California,Long Beach
200124,APAC,Indonesia,Southeast Asia,Yogyakarta,Yogyakarta
200125,APAC,China,North Asia,Liaoning,Anshan
200126,EU,Netherlands,Central,North Holland,Amsterdam
200127,EU,France,Central,Upper Normandy,Le Petit-Quevilly
200128,EU,Germany,Central,North Rhine-Westphalia,Bochum
200129,EU,Germany,Central,Hamburg,Hamburg
200130,US,United States,Central,Texas,Houston
200131,LATAM,Guatemala,Central,Guatemala,Mixco
200132,US,United States,East,New York,Yonkers
200133,LATAM,Mexico,North,Michoacán,Morelia
200134,APAC,China,North Asia,Jilin,Changchun
200135,EU,Spain,South,Madrid,Madrid
200136,EMEA,Saudi Arabia,EMEA,Makkah,Jeddah
200137,US,United States,Central,Oklahoma,Norman
200138,APAC,Indonesia,Southeast Asia,Sumatera Utara,Medan
200139,APAC,Indonesia,Southeast Asia,Jakarta,Jakarta
200140,US,United States,East,Ohio,Lancaster
200141,APAC,Indonesia,Southeast Asia,Jawa Tengah,Surakarta
200142,APAC,China,North Asia,Beijing,Beijing
200143,LATAM,Mexico,North,Hidalgo,Tulancingo
200144,EMEA,Belarus,EMEA,Brest,Brest
200145,EU,Spain,South,Valenciana,Valencia
200146,US,United States,South,North Carolina,Charlotte
200147,EMEA,Ukraine,EMEA,Zhytomyr,Zhytomyr
200148,EU,France,Central,Ile-de-France,Argenteuil
200149,EU,France,Central,Aquitaine,Talence
200150,APAC,India,Central Asia,Bihar,Aurangabad
200151,EU,France,Central,Ile-de-France,Plaisir
200152,EU,United Kingdom,North,England,Harrogate
200153,APAC,Cambodia,Southeast Asia,Phnom Penh,Phnom Penh
200154,APAC,Australia,Oceania,Queensland,Mackay
200155,US,United States,West,Nevada,North Las Vegas
200156,APAC,Indonesia,Southeast Asia,Jambi,Jambi
200157,EU,Germany,Central,North Rhine-Westphalia,Moers
200158,US,United States,East,Delaware,Newark
200159,APAC,China,North Asia,Guangdong,Shenzhen
200160,APAC,Australia,Oceania,Tasmania,Launceston
200161,APAC,Philippines,Southeast Asia,National Capital,Marikina
200162,Africa,South Africa,Africa,Gauteng,Johannesburg
200163,EU,Spain,South,Basque Country,Barakaldo
200164,US,United States,East,Rhode Island,Providence
200165,US,United States,East,New York,Long Beach
200166,APAC,China,North Asia,Shandong,Qingdao
200167,US,United States,West,California,San Francisco
200168,EMEA,Iran,EMEA,Fars,Shiraz
200169,APAC,India,Central Asia,Jharkhand,Bokaro
200170,APAC,Japan,North Asia,Shizuoka,Fuji
200171,EU,Spain,South,Valenciana,Benidorm
200172,APAC,India,Central Asia,Kerala,Kozhikode
200173,APAC,Malaysia,Southeast Asia,Kuala Lumpur,Kuala Lumpur
200174,EMEA,Russia,EMEA,Astrakhan',Astrakhan'
200175,US,United States,East,Ohio,Columbus
200176,APAC,China,North Asia,Hunan,Xiangtan
200177,APAC,China,North Asia,Zhejiang,Shaoxing
200178,APAC,India,Central Asia,Madhya Pradesh,Jabalpur
200179,APAC,India,Central Asia,Bihar,Patna
200180,EU,France,Central,Pays de la Loire,La Baule-Escoublac
200181,EU,France,Central,Burgundy,Dijon
200182,Africa,South Africa,Africa,Western Cape,Cape Town
200183,Africa,Egypt,Africa,Al Qahirah,Cairo
200184,EU,United Kingdom,North,England,West Bromwich
200185,EMEA,Azerbaijan,EMEA,Baki,Baku
200186,EU,United Kingdom,North,England,Burnley
200187,EU,France,Central,Pays de la Loire,Laval
200188,EMEA,Lithuania,EMEA,Vilnius,Vilnius
200189,LATAM,Argentina,South,Buenos Aires,Buenos Aires
200190,Africa,Egypt,Africa,Suhaj,Girga
200191,APAC,India,Central Asia,Kerala,Kochi
200192,Africa,Lesotho,Africa,Maseru,Maseru
200193,APAC,New Zealand,Oceania,Wellington,Wellington
200194,APAC,China,North Asia,Henan,Luoyang
200195,LATAM,Brazil,South,Bahia,Feira de Santana
200196,LATAM,Nicaragua,Central,Matagalpa,Matagalpa
200197,US,United States,South,Virginia,Virginia Beach
200198,LATAM,Nicaragua,Central,Managua,Managua
200199,APAC,China,North Asia,Inner Mongolia,Wuhai
200200,EU,France,Central,Pays de la Loire,Nantes
200201,EU,France,Central,Alsace,Strasbourg
200202,APAC,Indonesia,Southeast Asia,Jawa Timur,Surabaya
200203,LATAM,Brazil,South,São Paulo,Tupã
200204,EU,Austria,Central,Vienna,Vienna
200205,LATAM,Mexico,North,Distrito Federal,Mexico City
200206,APAC,Australia,Oceania,Tasmania,Hobart
200207,APAC,Japan,North Asia,Osaka,Hirakata
200208,EU,United Kingdom,North,England,Preston
200209,APAC,India,Central Asia,Uttar Pradesh,Agra
200210,EU,Spain,South,Catalonia,Granollers
200211,APAC,Vietnam,Southeast Asia,Ho Chí Minh City,Ho Chi Minh City
200212,LATAM,Cuba,Caribbean,Camagüey,Camagüey
200213,US,United States,East,New Jersey,Morristown
200214,EMEA,Romania,EMEA,Neamt,Piatra-Neamt
200215,LATAM,Mexico,North,Distrito Federal,Milpa Alta
200216,LATAM,Mexico,North,Guanajuato,León
200217,EMEA,Turkey,EMEA,Izmir,Izmir
200218,LATAM,Mexico,North,Distrito Federal,Coyoacán
200219,APAC,New Zealand,Oceania,Auckland,Manukau City
200220,Africa,Cameroon,Africa,Centre,Yaounde
200221,EU,United Kingdom,North,England,Newcastle upon Tyne
200222,APAC,India,Central Asia,Uttarakhand,Dehra Dun
200223,EU,Spain,South,Cantabria,Santander
200224,APAC,China,North Asia,Hebei,Cangzhou
200225,APAC,China,North Asia,Shanghai,Shanghai
200226,LATAM,Nicaragua,Central,León,León
200227,EMEA,Russia,EMEA,Yaroslavl',Rybinsk
200228,LATAM,Brazil,South,São Paulo,Ibiúna
200229,APAC,Australia,Oceania,Australian Capital Territory,Canberra
200230,Africa,South Africa,Africa,Eastern Cape,Port Elizabeth
200231,US,United States,East,Ohio,Newark
200232,EU,United Kingdom,North,England,Cambridge
200233,APAC,India,Central Asia,Chhattisgarh,Kota
200234,APAC,New Zealand,Oceania,Canterbury,Christchurch
200235,EU,France,Central,Ile-de-France,Vincennes
200236,APAC,China,North Asia,Chongqing,Chongqing
200237,EMEA,Hungary,EMEA,Bekes,Gyula
200238,APAC,India,Central Asia,Uttar Pradesh,Lucknow
200239,US,United States,South,Kentucky,Florence
200240,EU,Italy,South,Piedmont,Turin
200241,US,United States,Central,Missouri,Springfield
200242,APAC,Singapore,Southeast Asia,Singapore,Singapore
200243,Africa,Angola,Africa,Benguela,Benguela
200244,US,United States,Central,Indiana,Lafayette
200245,APAC,Japan,North Asia,Hyogo,Himeji
200246,APAC,Indonesia,Southeast Asia,Sulawesi Tenggara,Kendari
200247,LATAM,El Salvador,Central,San Salvador,Mejicanos
200248,EU,Spain,South,Catalonia,Barcelona
200249,EU,France,Central,Provence-Alpes-Côte d'Azur,Menton
200250,US,United States,South,Alabama,Huntsville
200251,EU,France,Central,Auvergne,Clermont-Ferrand
200252,EMEA,Romania,EMEA,Buzau,Buzau
200253,LATAM,Brazil,South,Paraíba,Bayeux
200254,US,United States,South,Georgia,Columbus
200255,US,United States,Central,Texas,San Antonio
200256,APAC,Australia,Oceania,Northern Territory,Darwin
200257,US,United States,East,New York,Jamestown
200258,EU,France,Central,Lower Normandy,Bayeux
200259,EU,France,Central,Nord-Pas-de-Calais,Lens
200260,EU,France,Central,Brittany,Lannion
200261,EU,Germany,Central,North Rhine-Westphalia,Iserlohn
200262,Africa,Democratic Republic of the Congo,Africa,Katanga,Kalemie
200263,EU,Belgium,Central,East Flanders,Ghent
200264,US,United States,Central,Indiana,Indianapolis
200265,EU,France,Central,Provence-Alpes-Côte d'Azur,Marseille
200266,APAC,Pakistan,Central Asia,Punjab,Lahore
200267,EU,France,Central,Rhône-Alpes,Grenoble
200268,EU,Finland,North,Uusimaa,Espoo
200269,APAC,Australia,Oceania,South Australia,Whyalla
200270,EU,France,Central,Ile-de-France,Ivry-sur-Seine
200271,APAC,India,Central Asia,Uttar Pradesh,Kanpur
200272,EU,France,Central,Provence-Alpes-Côte d'Azur,Saint-Laurent-du-Var
200273,LATAM,Colombia,South,Bolívar,Cartagena
200274,LATAM,Mexico,North,Quintana Roo,Cancún
200275,APAC,China,North Asia,Heilongjiang,Harbin
200276,Africa,Ghana,Africa,Ashanti,Kumasi
200277,APAC,India,Central Asia,Tamil Nadu,Salem
200278,EU,France,Central,Pays de la Loire,Angers
200279,EMEA,Iran,EMEA,Lorestan,Khorramabad
200280,APAC,India,Central Asia,Tamil Nadu,Chennai
200281,EU,Italy,South,Apulia,Barletta
200282,EU,United Kingdom,North,England,Tamworth
200283,APAC,India,Central Asia,West Bengal,Kulti
200284,EU,France,Central,Pays de la Loire,Le Mans
200285,APAC,China,North Asia,Sichuan,Mianyang
200286,LATAM,Mexico,North,Nuevo León,Cadereyta
200287,APAC,Australia,Oceania,Queensland,Bundaberg
200288,LATAM,Brazil,South,Goiás,Valparaíso de Goiás
200289,APAC,Indonesia,Southeast Asia,Sulawesi Utara,Manado
