Product Key,Product ID,Product Name,Category,Sub-Category
400000,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories
400001,FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
400002,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones
400003,TEC-PH-10004583,"Motorola Smart Phone, Cordless",Technology,Phones
400004,TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",Technology,Copiers
400005,TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,Phones
400006,FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
400007,FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
400008,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders
400009,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables
400010,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies
400011,FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Furniture,Tables
400012,TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Technology,Phones
400013,FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
400014,OFF-AP-10003500,"KitchenAid Microwave, White",Office Supplies,Appliances
400015,OFF-AP-10000423,"Breville Refrigerator, Red",Office Supplies,Appliances
400016,TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories
400017,OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances
400018,TEC-CO-10000865,"Brother Fax Machine, High-Speed",Technology,Copiers
400019,OFF-KIT-10004058,"KitchenAid Stove, White",Office Supplies,Appliances
400020,FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",Furniture,Tables
400021,TEC-PH-10001363,Apple iPhone 5S,Technology,Phones
400022,FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
400023,OFF-AP-10003590,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
400024,TEC-PH-10004182,"Motorola Smart Phone, Full Size",Technology,Phones
400025,FUR-TA-10002827,"Hon Computer Table, Fully Assembled",Furniture,Tables
400026,FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Furniture,Tables
400027,TEC-PH-10002885,Apple iPhone 5,Technology,Phones
400028,FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Furniture,Chairs
400029,TEC-PH-10002815,"Samsung Smart Phone, VoIP",Technology,Phones
400030,TEC-MA-10000161,"Okidata Inkjet, Wireless",Technology,Machines
400031,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs
400032,OFF-AP-10004246,"Breville Stove, Red",Office Supplies,Appliances
400033,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables
400034,TEC-APP-10000308,"Apple Smart Phone, Full Size",Technology,Phones
400035,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines
400036,TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines
400037,TEC-CO-10000013,"Brother Fax Machine, Laser",Technology,Copiers
400038,TEC-PH-10000499,"Motorola Smart Phone, Full Size",Technology,Phones
400039,TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",Technology,Phones
400040,FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
400041,OFF-AP-10000486,"Cuisinart Stove, Silver",Office Supplies,Appliances
400042,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders
400043,FUR-CH-10003365,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs
400044,FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
400045,TEC-MA-10002680,"Konica Inkjet, White",Technology,Machines
400046,FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
400047,TEC-CAN-10003392,"Canon Copy Machine, Color",Technology,Copiers
400048,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers
400049,FUR-BO-10001372,"Safco Classic Bookcase, Pine",Furniture,Bookcases
400050,TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",Technology,Phones
400051,TEC-CO-10004997,"Hewlett Wireless Fax, Color",Technology,Copiers
400052,TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers
400053,FUR-TA-10000226,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables
400054,OFF-AP-10002244,"Breville Refrigerator, White",Office Supplies,Appliances
400055,TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones
400056,FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases
400057,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines
400058,TEC-PH-10002035,"Samsung Smart Phone, Cordless",Technology,Phones
400059,TEC-PH-10002565,"Apple Audio Dock, with Caller ID",Technology,Phones
400060,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances
400061,FUR-BO-10004999,"Safco Classic Bookcase, Metal",Furniture,Bookcases
400062,FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",Furniture,Tables
400063,TEC-PH-10004196,"Samsung Smart Phone, Cordless",Technology,Phones
400064,FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",Furniture,Tables
400065,FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
400066,OFF-AP-10001630,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
400067,FUR-HAR-10002873,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
400068,FUR-TA-10000687,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
400069,TEC-PH-10004505,"Nokia Smart Phone, Full Size",Technology,Phones
400070,TEC-PH-10002683,"Apple Smart Phone, Cordless",Technology,Phones
400071,TEC-CO-10002269,"Brother Ink, Color",Technology,Copiers
400072,TEC-CO-10002526,"Sharp Wireless Fax, Digital",Technology,Copiers
400073,FUR-CH-10002891,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
400074,TEC-CAN-10001437,"Canon Wireless Fax, Laser",Technology,Copiers
400075,OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders
400076,TEC-PH-10004327,"Motorola Smart Phone, Full Size",Technology,Phones
400077,OFF-AP-10001621,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances
400078,OFF-HOO-10001881,"Hoover Stove, White",Office Supplies,Appliances
400079,TEC-CO-10001954,"Brother Wireless Fax, Laser",Technology,Copiers
400080,FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
400081,TEC-CO-10003102,"Canon Copy Machine, Color",Technology,Copiers
400082,FUR-TA-10003392,Global Adaptabilities Conference Tables,Furniture,Tables
400083,OFF-AP-10002552,"Hamilton Beach Stove, White",Office Supplies,Appliances
400084,TEC-MOT-10000554,"Motorola Smart Phone, Full Size",Technology,Phones
400085,FUR-TA-10003627,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
400086,FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
400087,TEC-MA-10003515,"Panasonic Printer, Red",Technology,Machines
400088,OFF-AP-10002904,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances
400089,TEC-MOT-10003348,"Motorola Smart Phone, Full Size",Technology,Phones
400090,TEC-PH-10001990,"Cisco Smart Phone, Full Size",Technology,Phones
400091,TEC-PH-10002898,"Samsung Smart Phone, Full Size",Technology,Phones
400092,TEC-CO-10001633,"Sharp Fax Machine, High-Speed",Technology,Copiers
400093,TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Technology,Phones
400094,FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables
400095,FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases
400096,OFF-AP-10003598,"Breville Refrigerator, Red",Office Supplies,Appliances
400097,FUR-CH-10001582,"Office Star Executive Leather Armchair, Black",Furniture,Chairs
400098,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines
400099,TEC-PH-10000505,"Apple Smart Phone, with Caller ID",Technology,Phones
400100,FUR-BO-10002003,"Sauder Classic Bookcase, Metal",Furniture,Bookcases
400101,TEC-CO-10001775,"Sharp Wireless Fax, Laser",Technology,Copiers
400102,OFF-AP-10000647,"Hoover Refrigerator, White",Office Supplies,Appliances
400103,TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Technology,Machines
400104,TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Technology,Copiers
400105,OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage
400106,FUR-CH-10002203,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
400107,FUR-BO-10001934,"Bush Library with Doors, Metal",Furniture,Bookcases
400108,TEC-CO-10000562,"HP Wireless Fax, Digital",Technology,Copiers
400109,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines
400110,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders
400111,TEC-CO-10002035,"Canon Wireless Fax, High-Speed",Technology,Copiers
400112,TEC-CO-10004099,"Sharp Fax Machine, Digital",Technology,Copiers
400113,TEC-PH-10003002,"Cisco Smart Phone, Full Size",Technology,Phones
400114,FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables
400115,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers
400116,FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs
400117,TEC-CO-10004398,"Brother Copy Machine, Color",Technology,Copiers
400118,TEC-CO-10004535,"Hewlett Fax Machine, High-Speed",Technology,Copiers
400119,TEC-AC-10000420,"Belkin Router, USB",Technology,Accessories
400120,FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases
400121,TEC-PH-10001670,"Motorola Smart Phone, Full Size",Technology,Phones
400122,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs
400123,FUR-BO-10004679,"Safco Library with Doors, Pine",Furniture,Bookcases
400124,OFF-AP-10001776,"Hoover Refrigerator, Red",Office Supplies,Appliances
400125,TEC-MA-10003704,"StarTech Printer, Wireless",Technology,Machines
400126,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs
400127,TEC-MA-10000984,Okidata MB760 Printer,Technology,Machines
400128,TEC-AC-10000376,"Memorex Router, Bluetooth",Technology,Accessories
400129,TEC-CO-10003800,"Hewlett Wireless Fax, Color",Technology,Copiers
400130,TEC-SAM-10004230,"Samsung Smart Phone, Cordless",Technology,Phones
400131,FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs
400132,OFF-AP-10002312,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
400133,TEC-PH-10000169,"Apple Smart Phone, with Caller ID",Technology,Phones
400134,FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs
400135,FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases
400136,TEC-AC-10000866,"Belkin Router, Erganomic",Technology,Accessories
400137,OFF-AP-10001623,"Hoover Stove, White",Office Supplies,Appliances
400138,FUR-BO-10003541,"Bush Classic Bookcase, Metal",Furniture,Bookcases
400139,TEC-CO-10004365,"HP Wireless Fax, Color",Technology,Copiers
400140,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines
400141,TEC-PH-10000800,"Cisco Smart Phone, Full Size",Technology,Phones
400142,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
400143,FUR-TA-10001642,"Lesro Round Table, Rectangular",Furniture,Tables
400144,OFF-AP-10001041,"Hoover Stove, White",Office Supplies,Appliances
400145,OFF-AP-10002090,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances
400146,OFF-AP-10002330,"Hamilton Beach Stove, Silver",Office Supplies,Appliances
400147,TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Technology,Phones
400148,FUR-TA-10002153,"Lesro Round Table, with Bottom Storage",Furniture,Tables
400149,OFF-AP-10004964,"Hoover Stove, White",Office Supplies,Appliances
400150,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories
400151,FUR-CH-10002061,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs
400152,TEC-PH-10002759,"Cisco Smart Phone, Cordless",Technology,Phones
400153,TEC-PH-10001699,"Samsung Smart Phone, Full Size",Technology,Phones
400154,TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines
400155,TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Technology,Phones
400156,FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases
400157,TEC-PH-10000018,"Nokia Smart Phone, Full Size",Technology,Phones
400158,FUR-HON-10003533,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
400159,TEC-AC-10001949,"Enermax Router, Bluetooth",Technology,Accessories
400160,OFF-HOO-10004910,"Hoover Refrigerator, White",Office Supplies,Appliances
400161,TEC-MA-10001335,"Epson Printer, Durable",Technology,Machines
400162,FUR-TA-10000347,"Hon Computer Table, Adjustable Height",Furniture,Tables
400163,TEC-PH-10000493,"Apple Smart Phone, Full Size",Technology,Phones
400164,FUR-TA-10003596,"Lesro Computer Table, Adjustable Height",Furniture,Tables
