Shipping Key,Ship Mode,Shipping Cost
300000,Same Day,933.57
300001,Second Class,923.63
300002,First Class,915.49
300003,First Class,910.16
300004,Same Day,903.04
300005,Second Class,897.35
300006,First Class,894.77
300007,Standard Class,878.38
300008,Standard Class,867.69
300009,Second Class,865.74
300010,Second Class,846.54
300011,First Class,835.57
300012,Second Class,832.41
300013,Same Day,810.25
300014,Second Class,804.54
300015,Second Class,801.66
300016,Second Class,780.7
300017,Standard Class,778.32
300018,First Class,766.93
300019,Second Class,763.38
300020,First Class,759.47
300021,First Class,752.51
300022,First Class,752.47
300023,Second Class,730.91
300024,First Class,728.97
300025,First Class,728.39
300026,First Class,725.57
300027,Second Class,725.34
300028,First Class,714.66
300029,Same Day,704.08
300030,Second Class,704.06
300031,First Class,699.55
300032,Same Day,690.42
300033,Second Class,689.8
300034,Second Class,683.12
300035,First Class,678.15
300036,Same Day,675.15
300037,Same Day,674.82
300038,Standard Class,668.96
300039,First Class,665.27
300040,Standard Class,660.87
300041,Standard Class,658.69
300042,Second Class,658.35
300043,Standard Class,656.73
300044,First Class,655.91
300045,Standard Class,655.61
300046,Same Day,652.98
300047,First Class,644.75
300048,Same Day,637.86
300049,Second Class,634.53
300050,First Class,632.05
300051,First Class,630.97
300052,Same Day,630.05
300053,First Class,627.27
300054,Same Day,627.17
300055,First Class,625.77
300056,First Class,617.92
300057,Second Class,616.27
300058,First Class,614.34
300059,Second Class,609.44
300060,Second Class,609.24
300061,Same Day,607.34
300062,Second Class,604.4
300063,First Class,600.21
300064,Standard Class,595.5
300065,Second Class,594.02
300066,First Class,593.91
300067,First Class,592.77
300068,Same Day,592.73
300069,First Class,590.56
300070,First Class,589.36
300071,First Class,589.29
300072,Second Class,588.13
300073,First Class,586.57
300074,Second Class,585.25
300075,Second Class,581.88
300076,Standard Class,581.12
300077,First Class,580.98
300078,Second Class,576.71
300079,Same Day,573.27
300080,Standard Class,572.95
300081,Second Class,568.45
300082,Second Class,567.95
300083,Second Class,566.65
300084,Standard Class,564.25
300085,Second Class,562.14
300086,Same Day,556.45
300087,Same Day,555.77
300088,First Class,553.31
300089,First Class,550.74
300090,Second Class,548.4
300091,First Class,548.08
300092,Same Day,546.9
300093,Second Class,546.56
300094,First Class,546.49
300095,Same Day,545.89
300096,First Class,541.59
300097,Second Class,541.57
300098,Same Day,540.77
300099,Second Class,539.94
300100,Standard Class,533.99
300101,Standard Class,531.28
300102,Same Day,531.09
300103,First Class,530.49
300104,First Class,527.87
300105,Second Class,527.85
300106,Standard Class,524.76
300107,First Class,523.47
300108,Same Day,522.79
300109,Same Day,520.89
300110,Standard Class,516.91
300111,Same Day,516.63
300112,Second Class,515.24
300113,First Class,511.47
300114,Second Class,510.72
300115,Standard Class,510.18
300116,Second Class,506.89
300117,First Class,506.49
300118,Second Class,506.27
300119,First Class,504.56
300120,First Class,499.62
300121,Standard Class,499.55
300122,Standard Class,498.7
300123,Second Class,498.62
300124,Second Class,498.52
300125,First Class,498.38
300126,First Class,498.14
300127,Standard Class,498.08
300128,First Class,496.46
300129,Same Day,493.41
300130,First Class,493.2
300131,First Class,492.79
300132,Standard Class,492.28
300133,Same Day,491.91
300134,First Class,489.6
300135,Standard Class,487.86
300136,First Class,487.48
300137,First Class,487.32
300138,First Class,487.15
300139,Second Class,485.47
300140,First Class,483.26
300141,Second Class,483.04
300142,First Class,481.04
300143,Same Day,480.56
300144,Standard Class,479.96
300145,First Class,479.94
300146,First Class,479.67
300147,Second Class,477.15
300148,Second Class,475.34
300149,Standard Class,474.44
300150,First Class,473.27
300151,First Class,472.0
300152,Second Class,471.92
300153,First Class,471.22
300154,Standard Class,470.29
300155,First Class,469.29
300156,Second Class,469.16
300157,Standard Class,466.7
300158,Standard Class,466.33
300159,First Class,465.92
300160,First Class,465.63
300161,First Class,465.02
300162,Standard Class,463.98
300163,First Class,458.97
300164,Standard Class,458.54
300165,Same Day,457.14
300166,Standard Class,456.32
300167,Standard Class,455.71
300168,Standard Class,454.81
300169,Standard Class,452.6
300170,First Class,452.28
300171,Standard Class,451.63
300172,First Class,451.03
300173,First Class,449.45
300174,First Class,449.18
300175,First Class,448.91
300176,Second Class,447.66
300177,Second Class,446.33
300178,Same Day,443.92
300179,Standard Class,443.69
300180,Second Class,443.55
300181,Standard Class,442.49
300182,First Class,440.25
300183,Second Class,439.69
300184,First Class,439.65
300185,Standard Class,439.41
300186,Same Day,439.03
300187,Standard Class,438.89
300188,Second Class,437.85
300189,Standard Class,433.41
300190,Standard Class,432.57
300191,Standard Class,432.15
300192,Second Class,432.13
300193,Second Class,431.68
300194,Second Class,430.04
300195,First Class,429.66
300196,Same Day,428.83
300197,Standard Class,428.8
300198,Second Class,427.46
300199,Same Day,427.24
300200,Same Day,427.1
300201,Standard Class,426.09
300202,Standard Class,426.05
300203,First Class,424.81
300204,First Class,422.25
300205,Standard Class,419.38
300206,Standard Class,419.06
300207,First Class,418.26
300208,Same Day,417.99
300209,Same Day,417.47
300210,First Class,416.74
300211,Same Day,416.33
300212,Same Day,415.69
300213,Same Day,415.01
300214,Second Class,413.95
300215,Standard Class,413.8
300216,Same Day,411.64
300217,First Class,411.06
300218,First Class,410.88
300219,First Class,410.22
300220,Second Class,410.05
300221,First Class,408.79
300222,First Class,406.53
300223,Standard Class,404.97
300224,Standard Class,404.08
300225,Standard Class,403.97
300226,Second Class,403.46
300227,First Class,403.26
300228,Same Day,403.15
300229,Second Class,401.25
300230,First Class,401.13
300231,Standard Class,400.6
300232,Second Class,400.04
300233,Second Class,400.03
300234,First Class,399.96
300235,Second Class,399.85
300236,Standard Class,398.64
300237,Second Class,398.5
300238,First Class,397.52
300239,Same Day,396.92
300240,First Class,394.57
300241,Standard Class,393.62
300242,Second Class,393.58
300243,First Class,393.46
300244,First Class,390.2
300245,Second Class,390.09
300246,Standard Class,386.38
300247,Second Class,386.21
300248,First Class,386.0
300249,Second Class,384.41
300250,First Class,383.68
300251,Second Class,383.35
300252,First Class,383.01
300253,Standard Class,382.77
300254,Second Class,382.1
300255,Second Class,381.22
300256,First Class,381.14
300257,Second Class,380.77
300258,Same Day,379.56
300259,Standard Class,378.83
300260,Standard Class,378.26
300261,First Class,377.7
300262,Same Day,377.58
300263,Second Class,377.03
300264,First Class,376.88
300265,Standard Class,376.58
300266,First Class,374.8
300267,First Class,374.38
300268,First Class,372.5
300269,Standard Class,372.32
300270,Same Day,371.74
300271,First Class,371.51
300272,Second Class,369.98
300273,Standard Class,369.73
300274,Standard Class,369.4
300275,First Class,369.17
300276,Same Day,368.44
300277,First Class,367.57
300278,Same Day,367.55
300279,First Class,367.35
300280,Second Class,366.89
300281,Second Class,366.72
300282,Same Day,366.58
300283,First Class,365.9
300284,Standard Class,365.65
300285,Second Class,365.2
300286,First Class,364.76
300287,Second Class,363.87
300288,First Class,363.78
300289,First Class,363.73
300290,Standard Class,363.19
300291,Second Class,363.16
300292,Standard Class,363.1
300293,Second Class,360.04
300294,First Class,359.58
300295,Standard Class,359.28
300296,Second Class,359.27
300297,Second Class,359.09
300298,First Class,358.96
300299,First Class,358.85
300300,First Class,358.51
300301,First Class,358.18
300302,Second Class,357.89
300303,Standard Class,357.79
300304,Same Day,357.21
300305,Second Class,356.88
300306,Second Class,356.84
300307,First Class,356.68
300308,First Class,355.92
300309,First Class,355.61
300310,First Class,355.06
300311,Second Class,354.47
300312,Second Class,354.42
300313,Standard Class,353.85
300314,First Class,353.57
300315,Same Day,353.42
300316,Standard Class,353.04
300317,Same Day,352.79
300318,Standard Class,352.64
300319,First Class,352.52
300320,Standard Class,351.08
300321,First Class,351.07
300322,Standard Class,351.01
300323,First Class,350.68
300324,Second Class,350.68
300325,Same Day,350.31
300326,Standard Class,350.09
300327,Second Class,349.88
300328,Standard Class,349.87
300329,Standard Class,349.07
300330,Same Day,348.48
300331,Same Day,348.18
300332,Standard Class,348.08
300333,Second Class,347.82
300334,Standard Class,346.6
300335,First Class,345.81
300336,Second Class,345.78
300337,Second Class,345.77
300338,First Class,344.98
300339,Standard Class,344.98
300340,Second Class,344.5
300341,First Class,343.97
300342,First Class,343.81
300343,Standard Class,343.25
300344,Standard Class,342.11
300345,First Class,340.09
300346,First Class,339.47
300347,First Class,339.06
300348,Standard Class,338.56
300349,First Class,338.33
300350,Second Class,338.1
300351,First Class,337.93
300352,First Class,337.16
300353,First Class,337.07
300354,First Class,336.65
300355,Second Class,336.02
300356,Standard Class,335.95
300357,Standard Class,335.64
300358,Second Class,334.26
300359,First Class,334.23
300360,First Class,334.15
300361,First Class,333.15
300362,Same Day,333.1
300363,Standard Class,333.06
300364,Same Day,333.02
300365,Second Class,332.96
300366,Same Day,332.2
300367,Standard Class,332.14
300368,Second Class,332.13
300369,First Class,330.51
300370,First Class,330.01
300371,Same Day,329.73
300372,First Class,329.58
300373,First Class,328.66
300374,First Class,328.35
300375,First Class,327.94
300376,Second Class,327.81
300377,First Class,327.55
300378,First Class,327.11
300379,Second Class,326.35
300380,Second Class,326.32
300381,Same Day,326.27
300382,Second Class,326.27
300383,Second Class,326.05
300384,First Class,325.93
300385,Standard Class,325.54
300386,First Class,325.45
300387,Second Class,325.32
300388,First Class,325.04
300389,First Class,324.98
300390,Standard Class,324.93
300391,Standard Class,324.09
300392,Standard Class,323.75
300393,Second Class,321.54
300394,First Class,321.42
300395,Second Class,321.36
300396,Same Day,321.23
300397,Standard Class,320.96
300398,First Class,320.92
300399,Standard Class,320.38
300400,First Class,320.29
300401,Second Class,320.28
300402,Standard Class,320.27
300403,First Class,319.58
300404,First Class,319.53
300405,First Class,319.04
300406,Standard Class,318.17
300407,Second Class,318.08
300408,First Class,317.81
300409,Second Class,317.17
300410,Standard Class,316.76
300411,First Class,316.66
300412,First Class,316.59
300413,Standard Class,315.73
300414,Second Class,315.57
300415,Standard Class,315.29
300416,Second Class,314.81
300417,First Class,314.7
300418,First Class,314.38
300419,Same Day,314.27
300420,Standard Class,314.15
300421,First Class,313.71
300422,Same Day,313.66
300423,Standard Class,313.58
300424,Second Class,313.52
300425,Standard Class,313.45
300426,Second Class,313.31
300427,Standard Class,312.22
300428,Standard Class,312.14
300429,Standard Class,311.14
300430,Standard Class,310.75
300431,Second Class,310.17
300432,Standard Class,309.75
300433,Second Class,309.69
300434,Same Day,309.52
300435,First Class,309.11
300436,First Class,309.0
300437,Same Day,308.66
300438,Second Class,307.98
300439,First Class,307.85
300440,Standard Class,307.83
300441,First Class,307.43
300442,First Class,307.25
300443,First Class,305.98
300444,Standard Class,305.29
300445,Second Class,305.27
300446,Second Class,305.25
300447,First Class,305.2
300448,Second Class,305.16
300449,Second Class,304.95
300450,Standard Class,304.75
300451,First Class,304.53
300452,Second Class,304.5
300453,First Class,304.36
300454,First Class,304.16
300455,First Class,303.65
300456,First Class,303.63
300457,Standard Class,303.59
300458,Second Class,303.45
300459,Standard Class,302.99
300460,Second Class,302.82
300461,Standard Class,302.61
300462,Same Day,302.55
300463,Standard Class,302.48
300464,First Class,302.14
300465,Standard Class,302.01
300466,Second Class,301.73
300467,Standard Class,301.26
300468,Standard Class,300.6
300469,Same Day,300.5
300470,Second Class,299.4
300471,Same Day,299.12
300472,Standard Class,298.83
300473,Standard Class,298.77
300474,Standard Class,298.63
300475,Standard Class,298.44
300476,Standard Class,297.81
300477,Standard Class,297.2
300478,Standard Class,296.98
300479,Second Class,296.68
300480,First Class,296.1
300481,Second Class,296.08
300482,Same Day,296.01
300483,Second Class,295.74
300484,Standard Class,294.97
300485,Second Class,294.73
300486,First Class,294.57
300487,First Class,294.55
300488,Second Class,294.25
300489,Second Class,294.17
